country,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,4710000,4740000,4760000,4790000,4830000,4880000,4940000,5000000,5060000,5130000,5200000,5260000,5330000,5470000,5680000,5980000,6360000,6850000,7370000,7920000,8520000,9170000,9880000,10300000,10600000,10500000,10300000,9710000,9200000,8720000,8260000,7830000,7420000,7100000,6870000,6720000,6640000,6640000,6640000,6640000,6640000,6640000,6640000,6660000,6700000,6770000,6850000,6950000,7060000,7170000,7280000,7390000,7500000,7620000,7750000,7840000,7940000,8040000,8150000,8270000,8400000,8540000,8680000,8830000,9000000,9170000,9350000,9540000,9740000,9960000,10200000,10400000,10600000,10900000,11200000,11500000,11800000,12100000,12400000,12700000,12900000,13200000,13300000,13400000,13400000,13200000,12900000,12500000,12200000,11900000,11700000,11600000,11600000,11900000,12400000,13300000,14500000,15800000,17100000,18100000,18900000,19400000,19700000,20200000,20800000,21600000,22600000,23700000,24700000,25700000,26400000,27100000,27700000,28400000,29200000,30100000,31200000,32300000,33400000,34400000,35400000,36300000,37200000,38000000,38900000
Albania,780000,788000,795000,803000,811000,819000,826000,834000,842000,849000,857000,865000,873000,881000,888000,895000,901000,907000,913000,919000,926000,932000,938000,944000,949000,955000,960000,965000,970000,975000,980000,985000,990000,997000,1000000,1010000,1020000,1030000,1040000,1050000,1060000,1080000,1090000,1100000,1110000,1120000,1140000,1150000,1160000,1180000,1190000,1210000,1220000,1240000,1260000,1290000,1320000,1350000,1380000,1420000,1460000,1500000,1540000,1590000,1640000,1690000,1740000,1790000,1840000,1900000,1950000,2000000,2050000,2100000,2150000,2200000,2250000,2310000,2360000,2410000,2460000,2520000,2570000,2630000,2680000,2740000,2790000,2840000,2900000,2970000,3040000,3120000,3200000,3260000,3290000,3280000,3250000,3200000,3150000,3110000,3100000,3100000,3110000,3120000,3130000,3130000,3130000,3120000,3100000,3090000,3060000,3030000,3000000,2970000,2950000,2930000,2910000,2900000,2900000,2890000,2890000,2880000,2880000,2880000,2880000
Algeria,4470000,4510000,4560000,4610000,4660000,4730000,4800000,4880000,4950000,5030000,5120000,5200000,5280000,5360000,5420000,5470000,5510000,5530000,5560000,5590000,5620000,5640000,5670000,5710000,5750000,5800000,5860000,5920000,5990000,6050000,6120000,6190000,6260000,6340000,6420000,6520000,6630000,6740000,6860000,6990000,7110000,7230000,7360000,7490000,7610000,7730000,7860000,7970000,8090000,8210000,8340000,8460000,8590000,8730000,8870000,9020000,9190000,9360000,9560000,9770000,10000000,10300000,10500000,10800000,11100000,11300000,11600000,11900000,12200000,12600000,12900000,13300000,13700000,14100000,14500000,14900000,15300000,15700000,16100000,16600000,17100000,17600000,18100000,18600000,19200000,19800000,20500000,21100000,21800000,22400000,23100000,23800000,24400000,25100000,25800000,26400000,27000000,27600000,28200000,28800000,29300000,29700000,30200000,30600000,31000000,31500000,31900000,32300000,32700000,33100000,33600000,34200000,34700000,35300000,36000000,36700000,37400000,38100000,38900000,39700000,40600000,41400000,42200000,43100000,43900000
Andorra,4500,4540,4570,4600,4630,4660,4690,4730,4760,4790,4830,4860,4890,4940,4990,5060,5150,5240,5330,5430,5530,5630,5740,5800,5820,5800,5740,5630,5530,5430,5330,5240,5140,5080,5040,5040,5060,5120,5170,5230,5280,5340,5390,5450,5510,5570,5630,5690,5750,5810,5870,5930,5990,6080,6200,6690,7250,7860,8530,9230,9980,10800,11600,12500,13400,14400,15400,16400,17500,18500,19600,20800,21900,23100,24300,25600,26900,28200,29500,30700,31800,32800,33700,34800,36100,37500,39100,40900,42700,44600,46500,48500,50400,52500,54500,56700,58900,61000,62700,63900,64400,64300,64100,64400,65400,67300,70000,73200,76300,78900,81000,82700,83900,84500,84500,83700,82400,80800,79200,78000,77300,77000,77000,77100,77300
Angola,3190000,3180000,3170000,3150000,3140000,3120000,3100000,3080000,3060000,3040000,3020000,3000000,2980000,2960000,2950000,2930000,2920000,2920000,2910000,2900000,2890000,2880000,2870000,2870000,2880000,2900000,2940000,2980000,3030000,3070000,3120000,3160000,3210000,3260000,3310000,3350000,3400000,3450000,3500000,3550000,3600000,3650000,3700000,3750000,3810000,3870000,3940000,4010000,4080000,4160000,4230000,4310000,4390000,4470000,4550000,4620000,4710000,4820000,4940000,5040000,5140000,5230000,5310000,5380000,5450000,5530000,5610000,5680000,5730000,5770000,5780000,5770000,5770000,5800000,5890000,6040000,6250000,6500000,6760000,7020000,7280000,7530000,7790000,8060000,8340000,8640000,8950000,9280000,9610000,9960000,10300000,10700000,11100000,11500000,11800000,12200000,12700000,13100000,13500000,13900000,14400000,14900000,15400000,15900000,16400000,16900000,17500000,18100000,18800000,19400000,20100000,20900000,21700000,22500000,23400000,24200000,25100000,26000000,26900000,27900000,28800000,29800000,30800000,31800000,32900000
Antigua and Barbuda,35500,35300,35100,34900,34600,34400,34100,33800,33400,33100,32800,32500,32200,32000,31700,31500,31200,31000,30800,30600,30400,30200,30000,29900,29800,29800,29800,29900,30000,30100,30200,30300,30400,30700,31100,31800,32600,33600,34600,35700,36800,37900,39100,40100,41000,41700,42200,42600,43000,43300,43700,44100,44500,45000,45500,46500,47400,48100,48900,49600,50500,51400,52300,53200,54100,55000,55800,56700,57600,58700,59900,61200,62500,63600,64200,64400,64100,63600,63100,62700,62400,62200,62000,61900,61900,61800,61800,61800,61800,61800,61800,61700,61800,62000,62500,63400,64500,65800,67200,68700,70200,71700,73200,74700,76000,77200,78300,79300,80300,81500,82700,84000,85400,86700,88000,89300,90400,91500,92600,93600,94500,95400,96300,97100,97900
Argentina,4100000,4240000,4380000,4530000,4690000,4860000,5040000,5230000,5430000,5640000,5860000,6080000,6310000,6540000,6760000,6960000,7160000,7350000,7540000,7740000,7940000,8150000,8360000,8590000,8830000,9080000,9350000,9630000,9910000,10200000,10500000,10800000,11200000,11500000,11700000,12000000,12200000,12500000,12700000,12900000,13100000,13400000,13600000,13800000,14100000,14400000,14600000,14900000,15200000,15500000,15800000,16100000,16400000,16700000,17000000,17400000,17700000,18100000,18400000,18800000,19100000,19500000,19800000,20100000,20500000,20800000,21200000,21500000,21800000,22200000,22500000,22800000,23200000,23500000,23900000,24300000,24700000,25100000,25500000,25900000,26300000,26700000,27100000,27500000,27900000,28300000,28800000,29300000,29700000,30200000,30700000,31200000,31700000,32100000,32600000,33100000,33500000,34000000,34400000,34800000,35200000,35700000,36100000,36500000,36900000,37300000,37700000,38100000,38500000,38900000,39300000,39700000,40100000,40500000,40900000,41300000,41800000,42200000,42600000,43100000,43500000,43900000,44400000,44800000,45200000
Armenia,819000,826000,834000,841000,849000,856000,864000,871000,879000,887000,895000,903000,911000,919000,928000,936000,944000,953000,961000,970000,978000,987000,996000,1010000,1010000,1020000,1030000,1040000,1050000,1060000,1070000,1080000,1090000,1100000,1110000,1120000,1130000,1140000,1150000,1160000,1170000,1190000,1200000,1210000,1220000,1230000,1240000,1250000,1260000,1270000,1290000,1300000,1310000,1330000,1350000,1380000,1420000,1460000,1510000,1560000,1620000,1680000,1740000,1810000,1870000,1940000,2010000,2080000,2150000,2210000,2280000,2340000,2400000,2460000,2530000,2590000,2650000,2710000,2770000,2830000,2890000,2940000,3000000,3050000,3100000,3150000,3190000,3240000,3290000,3340000,3390000,3450000,3500000,3540000,3540000,3510000,3440000,3360000,3280000,3220000,3170000,3130000,3110000,3090000,3070000,3050000,3030000,3020000,3000000,2980000,2960000,2930000,2910000,2890000,2880000,2880000,2880000,2900000,2910000,2930000,2940000,2940000,2950000,2960000,2960000
Australia,3440000,3500000,3570000,3630000,3690000,3760000,3820000,3870000,3940000,4000000,4060000,4120000,4190000,4250000,4330000,4410000,4490000,4590000,4680000,4770000,4870000,4970000,5070000,5170000,5270000,5380000,5480000,5590000,5690000,5800000,5910000,6020000,6140000,6240000,6330000,6410000,6480000,6540000,6590000,6650000,6700000,6760000,6820000,6890000,6970000,7060000,7160000,7280000,7400000,7520000,7640000,7760000,7890000,8030000,8180000,8400000,8600000,8780000,8970000,9170000,9370000,9590000,9810000,10000000,10200000,10400000,10600000,10800000,11100000,11300000,11600000,11900000,12200000,12500000,12800000,13000000,13200000,13400000,13600000,13800000,13900000,14100000,14200000,14400000,14600000,14800000,15000000,15200000,15400000,15700000,15900000,16200000,16500000,16700000,17000000,17200000,17400000,17600000,17800000,18000000,18200000,18400000,18600000,18800000,19000000,19200000,19400000,19600000,19900000,20200000,20500000,20900000,21300000,21800000,22200000,22500000,22900000,23300000,23600000,23900000,24300000,24600000,24900000,25200000,25500000
Austria,5740000,5800000,5860000,5920000,5980000,6040000,6100000,6170000,6230000,6290000,6360000,6420000,6490000,6540000,6570000,6590000,6590000,6570000,6560000,6540000,6530000,6510000,6490000,6490000,6490000,6490000,6510000,6530000,6550000,6580000,6600000,6620000,6650000,6660000,6680000,6690000,6700000,6700000,6700000,6700000,6700000,6710000,6710000,6720000,6730000,6740000,6760000,6780000,6800000,6830000,6850000,6870000,6900000,6920000,6940000,6930000,6930000,6940000,6940000,6950000,6970000,6990000,7010000,7040000,7070000,7110000,7160000,7210000,7260000,7310000,7350000,7400000,7440000,7480000,7520000,7550000,7580000,7610000,7630000,7640000,7640000,7640000,7630000,7620000,7610000,7600000,7600000,7600000,7610000,7610000,7630000,7640000,7660000,7690000,7720000,7770000,7830000,7890000,7950000,7990000,8020000,8030000,8040000,8050000,8070000,8100000,8130000,8180000,8220000,8250000,8290000,8310000,8340000,8370000,8410000,8450000,8500000,8560000,8620000,8680000,8750000,8820000,8890000,8960000,9010000
